taxa,PC1,PC2,PC3,PC4,umax
X847,158.065630636362,-86.0727809097922,28.8569969015499,-20.6616405316651,4.66175727585268
X851,11.0517170978872,484.589838129877,361.134222834152,7.50455232266188,4.29564201798168
X1131,45.6522750041563,104.671719072408,-119.373856267948,-94.1597438015294,4.67188189352607
X1132,35.7189339864028,158.173596725545,-266.397765826078,-319.725362345296,4.99005382684396
X1133,38.39256004537,149.538965223792,-246.795122752549,-286.516813947776,4.89368567102564
X1165,36.3628950081559,184.929312501424,-325.902757513847,-415.637895857667,5.1238330611002
X2229,-15.2185542418654,31.2505035217459,-48.4464260455089,10.9238477314782,4.73699052922576
X2489,286.773639717005,-169.69692424754,73.0407169922178,-27.1605457720942,4.96780658901287
X3200,-24.5817294612356,24.9749718894753,-40.166262560022,4.6934087580087,3.90020602878879
X3210,-28.9216212816577,27.1677221531186,-43.4475190434312,0.0403614031397752,3.87022863196124
X3211,-29.9882823075933,23.7625863815591,-34.3697306688246,17.6709407634147,3.992580306543
X3212,-25.1557140877431,26.9888939763169,-32.1745774811881,4.1777081042837,3.66414973873723
X3223,-15.9865682261167,96.5848316150197,-333.813738838189,414.155029273666,3.81249753735714
X3943,-12.8810573224535,22.4944551491881,-25.7061694750358,6.26123357767473,4.87528906037677
X3968,106.990215473996,30.5675311740496,-105.423667815636,64.3817264581041,3.77673619598778
X3975,281.102722207881,-85.708415058317,30.5230528911368,-13.8405400659346,4.28192404021808
X4494,282.775248156472,-167.307747596195,72.4825053490666,-28.1393419875248,4.61222448002014
X4498,788.149956806423,-459.671338312835,255.480389559936,-83.5551692856849,4.32976999302477
X4708,104.007230270841,31.1030224302353,-109.830594383463,67.0222889432439,4.56312262263087
X4712,98.3367199273622,28.9926188050267,-103.409434574313,60.8660795420208,3.9983609572661
X4713,106.671166980724,31.963746128508,-112.694803955359,65.8015846827569,5.0949049892024
X4715,92.0318685749982,45.4344220802272,-103.206391620464,52.7751331891482,4.25188185879598
X4716,94.2523568110593,33.2448634067611,-94.4208722390125,56.626577730011,4.64734990641815
X4730,67.0930971930408,56.1917039074527,-92.9457608980977,23.1910763453621,3.85646235575505
X4824,108.210422306818,39.5383834139945,-105.763879594313,66.0574748783891,5.08755046620244
X5910,44.0551816878567,69.0975486704228,-60.8786501496794,7.00483237912751,5.12736196779342
X5914,48.2449015350468,72.0691469368884,-59.6136237368314,11.3171910560501,4.52125671731471
X6203,24.2662401629293,116.622721423214,-20.842279709507,-17.0622075936834,4.33707091728543
X8783,103.668361876337,36.2432866307032,-109.327151437446,67.8945587974845,3.86402908883415
X8784,106.27483539023,30.1329133310102,-109.417222073273,68.6863345050015,4.89300698335853
X8787,106.676094713916,35.0397674922966,-105.489707315518,70.7393170710651,4.33632503326674
X8789,109.193294905991,36.5175920328936,-112.915923274426,72.5273428557036,4.58164088162379
X8790,101.077639549941,35.3263854888731,-111.49882402315,65.0087142208447,5.00731068053019
X8816,354.932115408781,-109.835631447388,-22.9402812366211,39.8423682118776,5.0036581672851
X8819,97.5163773036756,34.7295442708608,-105.253857110944,62.442747280664,4.42220431869144
X8829,45.3415313562043,57.8461320493639,-42.4010981973658,-14.9665628241544,4.33241227515897
X8845,114.933283714923,109.933379372758,-363.884778568065,413.201194674168,3.90088940255282
X8848,79.5850211505826,47.6052997561723,-96.35179419706,47.3683899676301,4.24911799021915
X8850,84.874706455049,41.6817942714372,-102.990575526105,52.3738793171109,4.21139070354162
X8851,85.8574558646577,41.7338911017492,-114.339316222782,66.2469842503977,4.85348057051234
X10881,-39.9422372032951,27.9235643178207,-46.1924724744977,0.318582766040621,4.719201599031
X10882,-24.6766684100625,34.1376285470875,-41.100578036978,-0.193203973241739,3.66946238001383
X10883,-22.3732369218531,23.4488114719617,-32.1811569210588,-2.17920505346268,4.95995010721811
X10884,-22.3556879460724,32.3724432375345,-45.2931747250158,4.03385140680284,3.89943684974107
X10885,-40.2711365592342,24.3028076611083,-44.0803577420334,6.07230808553691,4.68110415447481
X10886,-374.033388626924,-301.15307196606,97.8302081239108,2.82678730785905,4.47819386205305
X10887,-14.3206515950288,30.6380926545604,-44.7167621180719,9.91310101770676,4.81440259321997
X10888,-33.594131447712,21.0977925014319,-39.5257677212053,3.63421793193937,4.70381083540769
X10889,-30.1495284282892,23.7500778801506,-38.5861398213709,0.385671642125837,4.73605655481288
X10890,286.591771173659,-169.357580038863,73.0018180390835,-27.0816441082018,4.76995218109323
X10891,285.896251964824,-169.111513710354,72.8259169345317,-26.9940410686348,4.47221669987833
X10892,-17.0873696542022,24.708715435176,-40.8728770033122,-5.42744999134006,4.08717776258773
X10893,-35.8855648497558,23.9414069121248,-36.1087425768977,11.3143214867758,4.45620920828932
X10894,-28.6936723916367,25.1298522526823,-40.4417993340608,-0.64775295096117,4.63520914890272
X10895,285.697951865616,-168.948047155564,72.6381386409039,-27.0165383132232,4.7002210895594
X10896,285.80898291461,-168.815210074706,72.7173839864184,-26.9613732987843,4.55084179914675
X10897,-27.8674860676014,32.722208812054,-40.8786992826701,-4.52827501603447,3.48820870966414
X10898,-34.6070378962057,35.0707276849528,-36.525010586596,8.18463627508335,4.97586125877612
X10899,-31.9423849008657,28.7136608552813,-32.6483848451879,6.88514784344705,3.83570229141721
X10900,372.434900646662,-145.106723626704,84.6441900570102,-46.4144501622929,4.40641586059342
X10901,85.664281384454,41.5224012367268,-114.513422545416,66.240226575416,4.27730949064915
X10902,-26.5327475229243,32.6684956380979,-30.1245590746708,9.25095408912198,4.50313431700944
X10903,-32.0220085189264,25.9475877809387,-41.5904857220876,0.930970034755038,5.28954472680908
X10904,-42.0294892881827,368.234682547962,305.170611327068,38.1364746237845,4.78100990223946
X10905,-25.7527856239252,28.6858978222691,-39.2906799810813,6.2729980903355,4.05411596629458
X10906,-23.4368813023256,33.8416416455481,-41.3146060093084,0.4148605272733,3.68942923752533
X10907,-26.1645383632133,17.809201084582,-34.8274214398049,1.9209690628209,4.36866047010056
X10908,-27.5881764389157,26.0045964011713,-40.0403263701522,8.69260443657617,4.6977227769493
X10909,-5.60356545846147,30.010448941424,-48.7257014723945,15.4502042132691,5.1679959535251
X10910,-34.7311527844321,28.1849189614544,-37.7668096935901,13.9971741406116,4.85168715480066
X10911,-22.901578253333,25.5165297284419,-46.2525727804773,1.90420196095692,4.509367494378
X10912,-20.0456297489073,25.4525044291001,-52.0254016873015,1.78591100291423,4.50944752762929
X10914,-23.0562038092394,26.4945445649163,-42.3780269800208,-5.09287442141708,4.11729122745519
X10915,-28.1729596322457,25.0437730717815,-39.4177043489138,2.15500791434591,4.09163307047129
X10916,-24.77081071899,30.3879713392493,-34.9318498324939,0.638746299164682,5.03805399131356
X10917,-31.780929711109,27.942089581833,-46.1561472769633,-3.85710486157859,4.13108719234873
X10918,-25.9205725015034,32.2782414127202,-41.1630671063185,4.85456472352154,4.50487837809528
X10919,-19.3879710747437,32.9703839928384,-39.2130033570832,7.85552135989794,4.15118018409375
